Country,Time,Percentage
FRA,2012-Q3,9.666667
FRA,2012-Q4,10.2
FRA,2013-Q1,10.4
FRA,2013-Q2,10.43333
FRA,2013-Q3,10.2
FRA,2013-Q4,10.16667
FRA,2014-Q1,10.2
FRA,2014-Q2,10.2
FRA,2014-Q3,10.23333
FRA,2014-Q4,10.46667
FRA,2015-Q1,10.36667
FRA,2015-Q2,10.43333
FRA,2015-Q3,10.3
FRA,2015-Q4,10.3
FRA,2016-Q1,10.3
FRA,2016-Q2,10
FRA,2016-Q3,9.833333
FRA,2016-Q4,10.06667
FRA,2017-Q1,9.633333
FRA,2017-Q2,9.533334
FRA,2017-Q3,9.433333
FRA,2017-Q4,9.033334
FRA,2018-Q1,9.266666
FRA,2018-Q2,9.166667
FRA,2018-Q3,8.866667
FRA,2018-Q4,8.8
FRA,2019-Q1,8.7
FRA,2019-Q2,8.533334
FRA,2019-Q3,8.2
FRA,2019-Q4,8.2
FRA,2020-Q1,7.833333
FRA,2020-Q2,7.4
FRA,2020-Q3,8.766666
FRA,2020-Q4,8.133333
FRA,2021-Q1,8.133333
FRA,2021-Q2,8.1
FRA,2021-Q3,7.766667
FRA,2021-Q4,7.533333
FRA,2022-Q1,7.333333
ITA,2002-Q1,8.533334
ITA,2002-Q2,8.833333
ITA,2002-Q3,8.6
ITA,2002-Q4,8.466666
ITA,2003-Q1,8.733334
ITA,2003-Q2,8.466666
ITA,2003-Q3,8.4
ITA,2003-Q4,8.2
ITA,2004-Q1,8.266666
ITA,2004-Q2,8.033334
ITA,2004-Q3,7.833333
ITA,2004-Q4,7.966667
ITA,2005-Q1,7.9
ITA,2005-Q2,7.8
ITA,2005-Q3,7.633333
ITA,2005-Q4,7.666667
ITA,2006-Q1,7.333333
ITA,2006-Q2,6.966667
ITA,2006-Q3,6.666667
ITA,2006-Q4,6.5
ITA,2007-Q1,6.233333
ITA,2007-Q2,6
ITA,2007-Q3,6.2
ITA,2007-Q4,6.4
ITA,2008-Q1,6.6
ITA,2008-Q2,6.866667
ITA,2008-Q3,6.733333
ITA,2008-Q4,7
ITA,2009-Q1,7.466667
ITA,2009-Q2,7.566667
ITA,2009-Q3,8.033334
ITA,2009-Q4,8.4
ITA,2010-Q1,8.6
ITA,2010-Q2,8.633333
ITA,2010-Q3,8.333333
ITA,2010-Q4,8.366667
ITA,2011-Q1,8.2
ITA,2011-Q2,8.2
ITA,2011-Q3,8.633333
ITA,2011-Q4,9.366667
ITA,2012-Q1,10.2
ITA,2012-Q2,10.73333
ITA,2012-Q3,11.03333
ITA,2012-Q4,11.63333
ITA,2013-Q1,12.1
ITA,2013-Q2,12.36667
ITA,2013-Q3,12.36667
ITA,2013-Q4,12.56667
ITA,2014-Q1,12.9
ITA,2014-Q2,12.63333
ITA,2014-Q3,12.73333
ITA,2014-Q4,12.83333
ITA,2015-Q1,12.53333
ITA,2015-Q2,12.26667
ITA,2015-Q3,11.63333
ITA,2015-Q4,11.66667
ITA,2016-Q1,11.66667
ITA,2016-Q2,11.7
ITA,2016-Q3,11.63333
ITA,2016-Q4,11.83333
ITA,2017-Q1,11.66667
ITA,2017-Q2,11.26667
ITA,2017-Q3,11.3
ITA,2017-Q4,11
ITA,2018-Q1,10.93333
ITA,2018-Q2,10.8
ITA,2018-Q3,10.26667
ITA,2018-Q4,10.5
ITA,2019-Q1,10.33333
ITA,2019-Q2,9.966666
ITA,2019-Q3,9.6
ITA,2019-Q4,9.666667
ITA,2020-Q1,9
ITA,2020-Q2,8.6
ITA,2020-Q3,10
ITA,2020-Q4,9.766666
ITA,2021-Q1,10.16667
ITA,2021-Q2,9.8
ITA,2021-Q3,9.1
ITA,2021-Q4,9
ITA,2022-Q1,8.5
ESP,2002-Q1,11.26667
ESP,2002-Q2,11.26667
ESP,2002-Q3,11.73333
ESP,2002-Q4,11.6
ESP,2003-Q1,11.66667
ESP,2003-Q2,11.4
ESP,2003-Q3,11.53333
ESP,2003-Q4,11.36667
ESP,2004-Q1,11.2
ESP,2004-Q2,11.2
ESP,2004-Q3,10.96667
ESP,2004-Q4,10.53333
