LOCATION,TIME,Value
FRA,2018-03,9.3
FRA,2018-04,9.2
FRA,2018-05,9.2
FRA,2018-06,9.1
FRA,2018-07,8.9
FRA,2018-08,8.9
FRA,2018-09,8.8
FRA,2018-10,8.8
FRA,2018-11,8.8
FRA,2018-12,8.8
FRA,2019-01,8.7
FRA,2019-02,8.7
FRA,2019-03,8.7
FRA,2019-04,8.5
FRA,2019-05,8.6
FRA,2019-06,8.5
FRA,2019-07,8.3
FRA,2019-08,8.2
FRA,2019-09,8.1
FRA,2019-10,8.2
FRA,2019-11,8.2
FRA,2019-12,8.2
FRA,2020-01,8.2
FRA,2020-02,7.8
FRA,2020-03,7.5
FRA,2020-04,7.6
FRA,2020-05,7.1
FRA,2020-06,7.5
FRA,2020-07,8.5
FRA,2020-08,8.9
FRA,2020-09,8.9
FRA,2020-10,8.3
FRA,2020-11,8.1
FRA,2020-12,8
FRA,2021-01,8
FRA,2021-02,8.2
FRA,2021-03,8.2
FRA,2021-04,8.2
FRA,2021-05,8.1
FRA,2021-06,8
FRA,2021-07,7.8
FRA,2021-08,7.8
FRA,2021-09,7.7
FRA,2021-10,7.6
FRA,2021-11,7.5
FRA,2021-12,7.5
FRA,2022-01,7.3
FRA,2022-02,7.3
FRA,2022-03,7.4
FRA,2022-04,7.5
FRA,2022-05,7.6
FRA,2022-06,7.6
FRA,2022-07,7.4
FRA,2022-08,7.3
FRA,2022-09,7.1
ITA,2000-03,10.5
ITA,2000-04,10.3
ITA,2000-05,10.3
ITA,2000-06,10.2
ITA,2000-07,10
ITA,2000-08,10
ITA,2000-09,9.9
ITA,2000-10,9.6
ITA,2000-11,9.6
ITA,2000-12,9.6
ITA,2001-01,9.4
ITA,2001-02,9.4
ITA,2001-03,9.3
ITA,2001-04,9.2
ITA,2001-05,9.1
ITA,2001-06,9.1
ITA,2001-07,9.1
ITA,2001-08,9
ITA,2001-09,9
ITA,2001-10,8.9
ITA,2001-11,8.9
ITA,2001-12,8.8
ITA,2002-01,8.6
ITA,2002-02,8.5
ITA,2002-03,8.5
ITA,2002-04,8.9
ITA,2002-05,8.8
ITA,2002-06,8.8
ITA,2002-07,8.6
ITA,2002-08,8.6
ITA,2002-09,8.6
ITA,2002-10,8.5
ITA,2002-11,8.5
ITA,2002-12,8.4
ITA,2003-01,8.8
ITA,2003-02,8.7
ITA,2003-03,8.7
ITA,2003-04,8.4
ITA,2003-05,8.5
ITA,2003-06,8.5
ITA,2003-07,8.4
ITA,2003-08,8.4
ITA,2003-09,8.4
ITA,2003-10,8.2
ITA,2003-11,8.2
ITA,2003-12,8.2
ITA,2004-01,8.4
ITA,2004-02,8.1
ITA,2004-03,8.3
ITA,2004-04,8.1
ITA,2004-05,8.1
ITA,2004-06,7.9
ITA,2004-07,7.8
ITA,2004-08,7.7
ITA,2004-09,8
ITA,2004-10,8
ITA,2004-11,8.1
ITA,2004-12,7.8
ITA,2005-01,7.8
ITA,2005-02,8
ITA,2005-03,7.9
ITA,2005-04,7.9
ITA,2005-05,7.6
ITA,2005-06,7.9
ITA,2005-07,7.6
ITA,2005-08,7.5
ITA,2005-09,7.8
ITA,2005-10,7.8
ITA,2005-11,7.6
ITA,2005-12,7.6
ITA,2006-01,7.4
ITA,2006-02,7.4
ITA,2006-03,7.2
ITA,2006-04,7.1
ITA,2006-05,7.1
ITA,2006-06,6.7
ITA,2006-07,6.6
ITA,2006-08,6.7
ITA,2006-09,6.7
ITA,2006-10,6.7
ITA,2006-11,6.6
ITA,2006-12,6.2
ITA,2007-01,6.4
ITA,2007-02,6.2
ITA,2007-03,6.1
ITA,2007-04,5.9
ITA,2007-05,6.1
ITA,2007-06,6
ITA,2007-07,6.3
ITA,2007-08,6.1
ITA,2007-09,6.2
ITA,2007-10,6.3
ITA,2007-11,6.3
ITA,2007-12,6.6
ITA,2008-01,6.7
ITA,2008-02,6.7
ITA,2008-03,6.4
ITA,2008-04,6.9
ITA,2008-05,6.8
ITA,2008-06,6.9
ITA,2008-07,6.6
ITA,2008-08,6.7
ITA,2008-09,6.9
ITA,2008-10,7
ITA,2008-11,7.1
ITA,2008-12,6.9
ITA,2009-01,7.3
ITA,2009-02,7.4
ITA,2009-03,7.7
ITA,2009-04,7.5
ITA,2009-05,7.4
ITA,2009-06,7.8
ITA,2009-07,7.9
ITA,2009-08,7.9
ITA,2009-09,8.3
ITA,2009-10,8.3
ITA,2009-11,8.4
ITA,2009-12,8.5
ITA,2010-01,8.6
ITA,2010-02,8.7
ITA,2010-03,8.5
ITA,2010-04,8.8
ITA,2010-05,8.6
ITA,2010-06,8.5
ITA,2010-07,8.4
ITA,2010-08,8.2
ITA,2010-09,8.4
ITA,2010-10,8.6
ITA,2010-11,8.3
ITA,2010-12,8.2
ITA,2011-01,8.2
ITA,2011-02,8.2
ITA,2011-03,8.2
ITA,2011-04,8
ITA,2011-05,8.3
ITA,2011-06,8.3
ITA,2011-07,8.4
ITA,2011-08,8.5
ITA,2011-09,9
ITA,2011-10,8.9
ITA,2011-11,9.5
ITA,2011-12,9.7
ITA,2012-01,9.8
ITA,2012-02,10.1
ITA,2012-03,10.7
ITA,2012-04,10.7
ITA,2012-05,10.6
ITA,2012-06,10.9
ITA,2012-07,11
ITA,2012-08,10.9
ITA,2012-09,11.2
ITA,2012-10,11.7
ITA,2012-11,11.6
ITA,2012-12,11.6
ITA,2013-01,12.1
ITA,2013-02,12.1
ITA,2013-03,12.1
ITA,2013-04,12.3
ITA,2013-05,12.4
ITA,2013-06,12.4
ITA,2013-07,12.1
ITA,2013-08,12.4
ITA,2013-09,12.6
ITA,2013-10,12.6
ITA,2013-11,12.5
ITA,2013-12,12.6
ITA,2014-01,13
ITA,2014-02,13
ITA,2014-03,12.7
ITA,2014-04,12.8
ITA,2014-05,12.8
ITA,2014-06,12.3
ITA,2014-07,12.9
ITA,2014-08,12.5
ITA,2014-09,12.8
ITA,2014-10,12.9
ITA,2014-11,13.3
ITA,2014-12,12.3
ITA,2015-01,12.5
ITA,2015-02,12.5
ITA,2015-03,12.6
ITA,2015-04,12.2
ITA,2015-05,12.3
ITA,2015-06,12.3
ITA,2015-07,11.7
ITA,2015-08,11.6
ITA,2015-09,11.6
ITA,2015-10,11.8
ITA,2015-11,11.5
ITA,2015-12,11.7
ITA,2016-01,11.6
ITA,2016-02,11.8
ITA,2016-03,11.6
ITA,2016-04,11.8
ITA,2016-05,11.6
ITA,2016-06,11.7
ITA,2016-07,11.5
ITA,2016-08,11.5
ITA,2016-09,11.9
